age,annual_income,credit_score,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,missed_payments_last_2yrs,savings_balance,loan_purpose,defaulted
34,53669,591,7094,4.3,Yes,0.679,2,4373,education,Yes
31,51550,605,19578,0.7,6,0.716,No,1550,home,Yes
52,35891,562,12982,8.0,3,0.706,Yes,6008,home,Yes
34,60472,837,6183,4.0,5,0.397,Yes,4631,auto,No
46,80739,638,5666,3.8,12,0.226,No,15027,home,No
41,68120,832,17138,6.7,5,0.219,2,8219,auto,No
47,19932,552,1000,3.3,3,0.33,2,801,auto,Yes
37,38220,632,20558,3.8,10,0.54,No,1755,home,Yes
38,42327,550,7196,6.5,14,0.693,3,882,personal,Yes
39,63533,642,14115,9.2,3,0.459,Yes,13428,personal,No
25,75921,585,3832,8.1,2,0.305,No,14355,home,No
57,61492,550,4132,2.2,11,0.363,2,20467,home,No
46,50292,850,3439,10.8,Yes,0.167,Yes,24957,auto,No
28,30028,595,8866,4.0,6,0.61,2,3860,home,Yes
22,22126,578,28307,3.9,10,0.532,No,No,home,Yes
48,56641,633,28122,7.3,10,0.362,Yes,11102,home,No
22,62065,688,14017,11.1,9,0.321,No,21323,education,No
54,76866,686,14065,7.4,4,0.525,No,4191,home,No
44,97314,709,12248,7.6,Yes,0.299,No,9916,personal,No
64,34087,687,12582,2.0,2,0.486,2,5391,auto,Yes
61,76106,622,24089,14.1,14,0.326,No,21667,home,No
22,69504,739,15422,0.9,8,0.496,No,6968,education,No
36,78052,647,24079,1.3,7,0.328,2,11903,personal,No
32,75000,673,7787,2.8,9,0.47,Yes,1932,home,Yes
53,80523,738,8947,5.4,10,0.194,No,8867,auto,No
46,52677,638,9837,6.1,2,0.435,No,24847,auto,No
44,52377,606,3010,No,4,0.329,2,5101,home,Yes
31,45060,621,14761,2.9,5,0.335,2,2010,education,Yes
50,43822,546,12913,1.5,6,0.609,2,2693,auto,Yes
40,46453,578,5353,5.8,5,0.507,Yes,4590,auto,Yes
27,60533,597,10372,No,12,0.63,Yes,No,personal,Yes
62,50995,490,15672,5.5,11,0.385,No,3522,auto,Yes
25,53453,671,24746,0.9,3,0.384,No,15203,education,No
43,73059,665,13262,4.0,14,0.275,Yes,25724,home,No
55,96300,572,6325,No,8,0.263,No,19760,auto,No
23,49172,606,7950,5.7,6,0.716,Yes,4262,education,Yes
61,73418,677,25518,13.4,6,0.424,No,21608,home,No
40,69567,691,24314,6.0,12,0.333,No,13948,personal,No
37,61738,747,16551,9.5,5,0.252,No,26853,auto,No
45,62527,842,12934,4.0,10,0.43,No,15685,auto,No
25,48269,686,7890,7.0,5,0.344,No,No,auto,No
43,42339,574,15773,5.0,12,0.67,No,12241,personal,Yes
61,20930,635,13249,5.5,3,0.524,4,4066,home,Yes
22,48207,653,10525,7.2,11,0.599,Yes,95,auto,Yes
31,71326,594,11664,13.2,5,0.356,No,4948,auto,No
40,72911,628,26747,6.5,3,0.224,No,12769,home,No
34,66596,680,8285,8.2,6,0.374,No,12603,education,No
54,65127,602,12476,6.9,6,0.465,Yes,32750,auto,No
28,59228,816,14794,5.1,2,0.341,Yes,14066,home,No
56,49124,640,19097,5.2,3,0.577,4,1793,personal,Yes
23,19778,678,29673,5.1,12,0.33,No,4129,personal,Yes
28,17391,535,1978,5.5,6,0.398,No,2906,education,Yes
53,87250,809,16566,2.0,11,0.455,No,3411,home,No
62,90603,665,4780,12.4,4,0.345,No,16451,education,No
27,49581,670,8101,2.6,12,0.612,Yes,No,home,Yes
41,45070,657,23188,5.8,5,0.582,No,No,education,Yes
49,26552,545,7130,1.4,12,0.506,4,2815,auto,Yes
63,43454,608,15595,No,7,0.452,Yes,1812,auto,Yes
26,44322,661,19614,6.9,2,0.384,No,13068,home,No
46,24479,551,21161,6.3,12,0.487,Yes,3342,home,Yes
63,52995,625,12335,4.8,Yes,0.416,4,No,personal,Yes
40,94906,647,17896,8.3,8,0.298,Yes,27154,education,No
47,46230,523,10387,5.3,2,0.613,4,4397,auto,Yes
24,83135,689,1000,14.4,12,0.303,No,11118,personal,No
64,67573,658,8161,6.0,13,0.356,Yes,5814,home,No
22,102795,625,6747,9.8,13,0.235,No,10261,auto,No
45,42783,372,1000,5.6,9,0.603,Yes,2896,auto,Yes
63,60885,751,18004,8.2,5,0.145,No,9127,personal,No
54,68552,850,4627,1.6,Yes,0.407,No,14598,auto,No
32,20321,518,5441,6.6,8,0.579,2,2254,auto,Yes
30,50820,705,2616,7.2,11,0.214,No,19412,personal,No
37,62704,699,15291,No,3,0.197,No,29044,auto,No
24,33538,614,13238,6.6,10,0.578,2,3372,auto,Yes
56,37848,601,11805,9.5,10,0.314,3,680,personal,Yes
39,43199,638,10413,10.2,2,0.275,No,30896,home,No
37,77037,550,17061,8.8,3,0.468,2,28633,home,No
23,45434,504,12527,3.1,7,0.413,2,9362,personal,Yes
28,37800,684,17755,0.8,2,0.678,No,6834,auto,Yes
55,45707,779,19103,15.2,4,0.139,Yes,16690,personal,No
51,44264,450,8743,0.3,Yes,0.48,Yes,2878,personal,Yes
26,74291,675,17266,No,8,0.313,No,14637,home,No
62,45434,625,6189,2.3,5,0.535,Yes,4086,auto,Yes
52,74380,727,2173,6.2,8,0.093,No,18858,home,No
63,52877,476,12666,3.8,12,0.455,2,2161,auto,Yes
53,101425,850,19640,11.0,2,0.336,No,15763,auto,No
47,28307,604,6868,No,4,0.506,4,2311,auto,Yes
34,77520,813,4946,6.6,5,0.324,No,22612,personal,No
59,64833,717,16235,8.2,7,0.169,No,10482,auto,No
24,85408,762,15942,8.8,3,0.059,No,13325,auto,No
56,69879,580,11470,6.5,6,0.778,No,503,personal,Yes
26,77579,727,8417,6.5,8,0.127,Yes,17365,education,No
51,39011,636,13288,2.9,6,0.351,No,14575,home,No
44,46728,592,15970,6.9,4,0.224,No,4063,auto,No
34,72893,550,8477,8.9,13,0.306,No,17373,personal,No
26,47771,619,24958,13.5,13,0.368,No,No,education,No
47,51271,612,1000,6.2,3,0.353,No,19378,home,No
28,54836,579,22366,3.1,7,0.596,Yes,8442,home,Yes
23,27654,559,3536,1.1,3,0.632,Yes,3048,home,Yes
59,49436,644,1000,2.7,3,0.537,Yes,2961,auto,Yes
31,31362,518,1000,1.8,11,0.488,2,3581,home,Yes
62,66079,626,4567,11.9,6,0.181,No,16402,education,No
50,36064,697,13961,2.4,7,0.291,No,18855,home,No
24,34268,803,3484,11.5,2,0.215,No,7907,education,No
63,38971,681,1000,1.3,2,0.44,Yes,4999,education,Yes
35,87715,677,14416,13.8,12,0.237,No,8345,personal,No
48,75000,537,15397,0.2,10,0.795,Yes,3345,personal,Yes
52,54238,630,12636,7.2,7,0.554,Yes,6908,personal,Yes
24,45721,642,3067,0.6,7,0.481,Yes,9947,auto,No
51,73968,667,1000,No,4,0.217,Yes,19778,auto,No
44,70545,665,9181,9.7,Yes,0.338,Yes,28997,home,No
28,36844,684,14616,11.6,Yes,0.227,Yes,19465,personal,No
29,91144,729,25227,7.3,12,0.249,No,14492,auto,No
30,25145,584,10361,3.8,9,0.321,No,3988,auto,Yes
57,40094,648,21340,6.3,14,0.406,No,662,home,Yes
64,20694,583,21832,3.5,5,0.622,Yes,8022,personal,Yes
27,59281,623,9635,12.3,6,0.27,Yes,22122,education,No
52,65896,693,4811,7.4,4,0.27,No,28008,education,No
64,58339,642,15070,4.2,8,0.658,Yes,3937,education,Yes
31,53453,698,4408,9.1,6,0.237,No,19977,home,No
52,78154,718,13351,0.5,7,0.347,No,10752,auto,No
46,55536,504,1078,No,14,0.496,Yes,3603,personal,Yes
54,67742,722,15142,5.2,14,0.35,No,12532,personal,No
44,76438,744,9582,2.9,10,0.439,No,13162,home,No
38,24090,663,7730,3.6,7,0.416,No,10151,home,Yes
54,76188,724,18851,8.6,3,0.289,No,10976,personal,No
53,41054,688,5574,9.0,14,0.399,No,5792,education,No
29,38188,522,12299,4.6,6,0.582,No,9528,education,Yes
24,72063,579,18261,9.1,10,0.254,No,22807,auto,No
49,53673,679,14807,12.2,8,0.293,No,18269,education,No
38,50451,793,13097,9.7,5,0.198,No,7586,education,No
26,56098,631,7274,No,10,0.284,Yes,No,auto,Yes
29,56539,707,4821,4.9,6,0.228,2,17941,personal,No
61,74015,594,16897,15.7,8,0.355,No,7660,home,No
31,39094,686,10306,6.9,Yes,0.45,4,6896,auto,Yes
48,51388,531,17529,2.4,11,0.622,2,7586,home,Yes
44,41477,607,10594,7.9,Yes,0.44,Yes,2751,home,Yes
34,47035,689,19994,6.8,10,0.355,No,36544,education,No
42,21391,556,18933,No,8,0.712,No,2608,auto,Yes
26,20193,546,14866,3.6,14,0.602,Yes,1017,personal,Yes
34,56624,600,16981,10.4,10,0.381,2,14812,personal,No
40,81672,762,20819,4.9,9,0.202,No,13123,home,No
53,38585,675,11136,2.7,12,0.207,No,18183,personal,No
52,34393,693,23978,0.3,14,0.353,No,210,personal,Yes
58,23583,565,9100,8.5,8,0.459,4,5809,education,Yes
44,53706,582,23965,4.2,5,0.644,2,1778,education,Yes
36,45253,638,4141,3.1,12,0.7,2,3042,personal,Yes
60,59098,722,9585,10.1,5,0.537,No,23171,auto,No
58,58566,744,15597,6.9,6,0.326,No,12584,home,No
34,14361,609,24900,0.3,11,0.648,2,4339,auto,Yes
36,19092,511,10244,6.6,10,0.673,2,254,auto,Yes
49,28386,513,12554,2.1,3,0.594,4,2262,home,Yes
23,105163,724,8689,9.2,9,0.182,Yes,27303,home,No
44,69993,658,21781,9.3,14,0.267,No,38882,personal,No
39,57139,639,22194,8.3,4,0.51,No,20004,home,No
54,35423,664,8755,17.4,10,0.543,No,22218,home,No
32,55544,537,14068,1.5,11,0.362,No,3888,auto,Yes
25,15222,624,11758,Yes,8,0.463,4,1685,education,Yes
53,55090,667,1095,8.7,14,0.244,No,23772,home,No
57,81876,723,3611,12.9,8,0.293,No,4420,home,No
44,30744,583,5435,Yes,13,0.696,2,1657,auto,Yes
54,32514,447,16445,4.5,4,0.692,Yes,No,auto,Yes
55,53882,747,24559,8.9,13,0.352,Yes,35966,auto,No
41,53084,658,12470,14.8,14,0.228,No,26451,auto,No
37,34202,562,1000,0.1,12,0.451,4,5735,auto,Yes
28,52679,493,1000,5.1,5,0.456,2,No,auto,Yes
59,66590,533,15137,4.0,6,0.516,4,5693,education,Yes
62,10000,571,3997,6.2,4,0.422,No,7346,home,Yes
38,47785,720,11876,3.1,7,0.373,Yes,574,auto,Yes
53,11203,617,8175,No,Yes,0.502,2,7818,auto,Yes
55,27138,628,18259,No,2,0.366,4,3602,personal,Yes
39,66764,646,11129,9.9,10,0.2,No,2147,auto,No
29,48791,513,16981,4.7,9,0.569,4,1386,personal,Yes
50,49392,736,16662,6.2,2,0.278,No,No,auto,No
24,39729,648,19705,7.8,2,0.528,No,No,auto,Yes
34,54510,639,9594,5.9,2,0.073,No,11735,personal,No
58,96185,624,9838,12.3,11,0.33,No,21550,home,No
47,15657,646,15413,No,5,0.25,2,7287,home,Yes
32,69844,726,22750,7.7,11,0.317,No,4662,auto,No
25,26540,720,9478,3.7,6,0.463,No,2384,auto,Yes
31,42310,695,5785,3.9,14,0.434,Yes,1491,auto,Yes
22,32128,684,7186,1.6,14,0.796,2,74,personal,Yes
22,29602,569,19885,3.4,3,0.681,2,2156,personal,Yes
47,85113,690,12922,12.2,3,0.359,No,14752,personal,No
47,68325,607,6413,13.1,6,0.341,No,2482,personal,No
36,38123,567,8240,1.2,5,0.529,2,5732,home,Yes
42,20170,525,5004,No,9,0.49,2,3661,personal,Yes
47,61562,782,16829,11.6,4,0.262,Yes,26647,auto,No
37,29373,614,14058,9.2,9,0.117,Yes,23379,education,No
33,49471,641,2655,0.4,6,0.532,No,3437,auto,Yes
29,63711,596,1000,7.9,10,0.351,No,7604,auto,No
56,37814,712,7165,2.1,9,0.649,2,4784,personal,Yes
34,25000,752,3109,13.4,14,0.219,No,5955,home,No
45,60268,751,11729,4.3,Yes,0.202,No,26284,education,No
51,73941,553,9835,10.3,5,0.242,2,6843,education,No
26,66316,517,15463,5.2,2,0.527,Yes,6486,home,Yes
62,55925,850,9486,7.5,8,0.277,No,10869,auto,No
31,85028,657,13625,No,7,0.137,No,20451,auto,No
43,27094,463,26575,5.0,Yes,0.455,Yes,5308,auto,Yes
51,50711,577,15409,4.9,14,0.431,No,6162,personal,Yes
53,49313,580,17389,No,6,0.59,2,No,home,Yes
50,38703,604,17889,No,7,0.535,3,5975,home,Yes
49,56842,713,21285,3.7,13,0.339,No,8600,auto,No
30,48453,607,7410,No,10,0.721,Yes,8567,personal,Yes
29,35422,679,9221,3.7,4,0.583,Yes,8325,personal,Yes
34,10709,719,9528,3.4,8,0.729,4,6156,education,Yes
60,43845,488,22248,4.2,2,0.524,Yes,No,home,Yes
28,47648,611,25437,4.1,14,0.475,Yes,9506,education,Yes
50,41260,720,1000,3.4,10,0.423,Yes,3262,home,Yes
49,41814,455,19902,5.0,8,0.549,2,65,auto,Yes
52,56428,787,12325,10.7,5,0.277,No,No,home,No
56,40092,606,1000,5.0,3,0.404,2,3704,auto,Yes
33,65004,649,17896,3.0,13,0.253,Yes,3979,auto,No
40,33157,449,13852,3.5,2,0.512,3,No,home,Yes
31,57087,596,13920,Yes,10,0.531,2,10298,personal,Yes
34,35386,523,16559,2.3,9,0.498,No,8148,auto,Yes
40,68839,698,14916,5.2,11,0.274,Yes,8397,education,No
30,108427,705,4623,7.5,4,0.282,No,20636,personal,No
61,42015,442,16628,0.5,12,0.78,2,3790,home,Yes
39,49126,640,13748,11.8,7,0.416,No,12762,auto,No
38,72589,832,16683,3.4,10,0.177,No,21513,education,No
26,73959,705,21367,10.6,6,0.299,2,12430,auto,No
56,49593,622,9344,4.1,Yes,0.453,2,2222,personal,Yes
40,51913,610,18492,3.5,Yes,0.514,2,1448,education,Yes
54,40812,515,12756,0.8,8,0.542,No,70,education,Yes
56,24848,720,6024,5.6,9,0.577,Yes,4527,auto,Yes
35,48082,756,9707,No,3,0.302,Yes,12960,home,No
32,64473,746,1304,9.3,5,0.305,No,13125,home,No
59,85179,726,14807,8.9,6,0.393,Yes,18464,education,No
23,90229,704,23334,3.8,12,0.408,No,713,home,No
22,49730,720,8312,5.1,13,0.513,4,3846,auto,Yes
60,48763,739,19123,12.5,6,0.455,No,19958,auto,No
25,49059,568,6399,6.4,11,0.592,Yes,9466,education,Yes
50,48205,496,24968,No,13,0.531,2,No,auto,Yes
49,47931,497,1000,No,2,0.551,4,3765,auto,Yes
40,86116,665,2901,11.7,6,0.285,No,10627,home,No
45,45024,622,12570,5.8,8,0.724,Yes,3137,personal,Yes
24,42868,716,6754,8.2,12,0.194,No,19517,personal,No
24,56381,626,17792,12.1,2,0.155,Yes,10289,personal,No
28,52561,436,14223,0.7,Yes,0.588,No,2723,auto,Yes
46,50087,777,21720,10.9,2,0.385,No,3755,personal,No
54,65345,746,3363,4.3,Yes,0.234,Yes,4502,home,No
30,44987,654,8512,No,12,0.49,4,9412,personal,Yes
34,14415,571,19623,9.3,12,0.39,2,No,personal,Yes
34,32741,378,17937,No,13,0.601,No,No,auto,Yes
34,23552,447,16500,No,13,0.45,Yes,7415,auto,Yes
39,10629,703,13189,5.0,Yes,0.484,Yes,No,personal,Yes
50,58246,550,2897,7.7,3,0.536,Yes,6265,auto,No
48,47023,632,17463,2.6,14,0.49,No,520,auto,Yes
59,73319,723,11821,5.1,5,0.348,No,13047,home,No
52,74621,725,14780,0.7,11,0.27,No,22323,auto,No
34,50196,719,3724,4.6,6,0.465,No,34414,auto,No
24,39183,507,13221,3.0,5,0.571,2,9252,home,Yes
58,31563,594,19545,1.3,5,0.802,3,5908,personal,Yes
46,43145,656,12909,0.9,14,0.409,Yes,3667,personal,Yes
46,54329,614,1000,Yes,5,0.633,Yes,2347,education,Yes
25,41061,525,15703,2.3,6,0.532,Yes,171,home,Yes
58,71188,827,14571,2.1,8,0.258,No,10145,education,No
35,57633,601,21498,14.1,3,0.275,No,4932,personal,No
35,52495,607,11842,6.9,13,0.05,No,9323,home,No
43,39073,619,7842,2.5,3,0.633,Yes,7684,home,Yes
39,22973,626,6336,No,Yes,0.691,2,No,auto,Yes
62,45538,702,3954,0.4,2,0.639,3,4237,auto,Yes
46,51574,531,9954,3.9,13,0.851,2,No,home,Yes
62,100576,646,11189,7.3,11,0.216,No,15348,home,No
32,67581,716,1000,6.0,8,0.351,No,13156,home,No
33,60554,609,14161,5.3,12,0.425,No,15988,personal,No
43,65010,735,10058,7.8,6,0.256,No,17977,auto,No
24,28930,595,3108,9.5,Yes,0.415,Yes,No,personal,No
28,35041,535,2887,2.9,11,0.571,No,8989,home,Yes
63,23616,559,16061,0.4,2,0.555,No,5370,home,Yes
22,55839,714,1000,4.9,7,0.13,No,22348,personal,No
33,31465,622,14984,2.3,7,0.706,No,8368,personal,Yes
25,70409,712,14689,No,10,0.155,No,11342,home,No
24,32774,720,15556,4.0,12,0.556,3,3819,home,Yes
54,67732,671,14676,3.3,14,0.342,No,10689,personal,No
32,60200,764,12843,7.8,6,0.152,No,2715,home,No
44,50052,580,13674,7.9,14,0.317,No,14748,personal,No
43,60239,805,20295,13.1,12,0.468,No,15687,home,No
24,86670,736,4439,11.7,4,0.329,No,22975,home,No
59,77069,781,8762,9.5,9,0.21,No,10146,auto,No
64,37678,572,10409,10.8,6,0.304,No,27503,education,No
42,67966,664,12030,7.1,6,0.299,No,29474,auto,No
62,80978,644,10169,10.6,7,0.308,No,10604,auto,No
63,31996,590,20833,3.6,9,0.409,Yes,No,home,Yes
59,32066,613,9652,5.0,8,0.816,Yes,6213,home,Yes
34,33369,615,15943,No,9,0.383,Yes,3411,auto,Yes
50,39370,587,14738,4.3,9,0.272,Yes,4784,personal,Yes
44,31752,592,8685,1.3,5,0.511,Yes,2304,personal,Yes
42,41441,662,12713,3.2,Yes,0.389,2,12492,home,No
54,10000,541,5308,No,13,0.773,Yes,1340,auto,Yes
30,72531,700,12502,5.7,11,0.283,2,19585,education,No
53,42682,663,15587,1.3,8,0.693,2,No,home,Yes
28,48411,503,16678,5.4,7,0.693,Yes,3610,home,Yes
36,38203,559,10433,1.3,12,0.474,No,3115,auto,Yes
31,30916,617,1000,1.5,9,0.314,Yes,4546,personal,Yes
63,46961,706,1000,6.7,2,0.274,No,14948,home,No
23,45607,624,12639,5.1,10,0.741,No,1355,personal,Yes
63,38873,590,19760,2.9,10,0.647,4,10146,education,Yes
54,10000,537,1000,2.7,9,0.581,No,10626,auto,Yes
37,52403,604,3413,2.4,11,0.678,Yes,2841,auto,Yes
53,43590,514,9438,4.1,14,0.562,No,4893,auto,Yes
33,56916,556,11234,1.9,3,0.704,Yes,1504,personal,Yes
62,27274,607,8801,0.4,2,0.63,Yes,No,home,Yes
46,20968,512,11084,2.8,7,0.568,2,3277,home,Yes
44,33935,726,23560,1.4,Yes,0.338,No,21996,home,No
25,53289,551,7280,No,5,0.588,No,5693,home,Yes
48,28089,615,16383,5.1,9,0.538,No,5437,personal,Yes
25,69437,593,13478,6.5,7,0.457,No,7839,auto,No
40,18341,704,26151,1.5,6,0.294,3,3826,personal,Yes
47,75354,698,16368,8.4,11,0.367,No,12601,home,No
40,31769,622,1000,9.2,Yes,0.46,No,16130,personal,No
50,65022,705,6602,9.8,6,0.308,No,38593,auto,No
58,60901,613,12956,No,13,0.395,No,6108,auto,Yes
55,43745,703,12860,5.2,3,0.321,Yes,26227,auto,No
50,38224,678,21220,1.6,6,0.649,2,No,auto,Yes
25,23751,525,8540,6.2,8,0.475,Yes,2109,personal,Yes
62,34700,614,7904,No,6,0.556,2,3426,home,Yes
30,70754,772,5863,6.3,12,0.207,Yes,18638,education,No
44,48967,513,7310,5.3,12,0.693,Yes,No,auto,Yes
51,44713,666,4183,4.6,10,0.495,Yes,10796,auto,Yes
54,85058,651,7175,12.1,13,0.11,No,20583,home,No
41,58693,629,17519,5.5,14,0.54,3,3555,auto,Yes
23,59402,495,3852,4.0,10,0.514,2,8804,education,Yes
30,75881,677,4267,6.5,13,0.369,No,27259,auto,No
38,39160,546,12506,4.7,11,0.656,No,523,home,Yes
38,100922,753,3192,No,Yes,0.249,No,14236,home,No
41,45784,686,2601,5.9,4,0.581,3,4661,home,Yes
28,33379,670,5603,4.2,3,0.55,No,No,auto,Yes
37,38879,724,19215,4.4,3,0.225,No,11274,home,No
41,65376,733,7050,7.8,12,0.194,No,19086,personal,No
60,60734,626,12156,2.3,4,0.535,2,No,home,Yes
52,42273,555,9265,No,2,0.251,No,No,education,Yes
48,31720,604,12514,4.1,8,0.526,4,6874,home,Yes
43,36062,819,16582,11.9,7,0.318,No,17797,auto,No
50,71258,765,16689,7.2,Yes,0.228,Yes,13353,personal,No
35,76994,643,10719,5.3,5,0.348,No,14506,home,No
24,25000,665,25225,5.3,Yes,0.297,No,18658,personal,No
29,16177,709,17415,No,6,0.494,Yes,4208,home,Yes
31,22968,658,1000,5.1,2,0.601,No,6645,home,Yes
40,55356,586,16109,11.1,6,0.364,No,8291,auto,No
59,75519,594,14683,6.3,3,0.526,No,18706,education,No
31,48349,612,23245,0.6,12,0.501,2,4476,home,Yes
52,53713,516,11268,1.3,14,0.401,No,2292,home,Yes
23,47227,679,29588,3.9,2,0.571,2,1104,personal,Yes
28,34852,474,9855,3.1,5,0.545,Yes,815,auto,Yes
25,50959,675,9851,1.6,Yes,0.428,Yes,5645,home,Yes
45,40212,485,13424,No,9,0.34,4,6567,auto,Yes
62,42558,451,4688,2.3,5,0.373,2,6785,home,Yes
50,22295,449,4842,6.9,9,0.59,2,2532,home,Yes
64,18399,575,4122,4.5,4,0.531,No,3290,education,Yes
47,29963,591,15278,5.4,11,0.464,No,6252,education,Yes
30,10000,680,13188,No,7,0.493,3,5648,auto,Yes
53,30460,564,12377,2.2,13,0.609,3,No,personal,Yes
34,57042,585,4603,1.4,5,0.54,3,No,auto,Yes
57,28010,720,21836,No,9,0.532,2,8891,education,Yes
42,72327,662,4364,5.3,7,0.305,No,20543,auto,No
43,66833,738,13871,3.2,14,0.218,No,16525,auto,No
64,36393,583,15624,1.2,10,0.826,2,2174,auto,Yes
27,59533,749,18518,3.7,13,0.266,Yes,18117,home,No
38,46786,597,18233,3.5,2,0.395,4,2822,personal,Yes
45,100250,608,14987,5.9,10,0.285,No,12327,auto,No
49,11242,656,9673,4.4,8,0.823,2,799,personal,Yes
52,69777,633,8523,9.9,5,0.405,2,7837,personal,No
51,32601,622,12226,4.4,4,0.417,3,4620,auto,Yes
51,52566,473,1000,No,13,0.606,No,1525,auto,Yes
34,26069,612,1138,4.9,7,0.589,No,3790,auto,Yes
58,45510,720,15850,3.4,9,0.613,2,1542,auto,Yes
38,40519,628,4995,No,13,0.434,Yes,1301,education,Yes
56,31836,689,13731,5.3,9,0.642,3,3546,auto,Yes
49,72775,590,16652,12.1,13,0.229,No,No,education,No
43,51283,572,5486,2.0,12,0.505,No,333,home,Yes
40,58627,641,9122,5.7,5,0.096,No,28600,auto,No
56,68591,661,5415,3.7,12,0.509,2,No,education,Yes
38,40057,453,1784,Yes,3,0.495,No,1789,auto,Yes
64,45908,576,2526,2.9,13,0.559,No,No,personal,Yes
51,86815,847,15774,11.0,5,0.344,2,24744,education,No
22,30587,366,7777,No,3,0.453,3,No,personal,Yes
41,35191,429,3655,7.4,4,0.425,Yes,No,auto,Yes
25,71775,739,9132,6.3,6,0.152,No,No,auto,No
46,79101,601,11835,5.8,2,0.387,No,8840,personal,No
35,39183,657,17264,1.6,12,0.703,2,7652,personal,Yes
58,82619,802,1000,7.5,Yes,0.295,No,10541,home,No
32,33727,545,5436,No,7,0.507,3,No,home,Yes
48,52474,465,15386,2.3,4,0.589,Yes,No,home,Yes
39,62070,682,10043,0.7,Yes,0.295,No,5899,home,No
37,75097,682,19790,11.8,5,0.215,No,16658,auto,No
36,33307,556,12879,0.3,5,0.595,4,1314,home,Yes
54,38044,564,7150,6.5,3,0.631,No,3300,personal,Yes
27,24997,609,1158,2.1,5,0.572,Yes,1387,home,Yes
56,31049,626,10432,2.7,7,0.589,Yes,No,auto,Yes
58,48234,460,19132,4.5,4,0.522,Yes,8104,home,Yes
52,26711,665,12075,5.8,12,0.567,2,No,personal,Yes
32,43574,714,29421,0.3,12,0.657,No,No,personal,Yes
51,39622,631,7542,5.3,4,0.473,2,3431,auto,Yes
38,86400,700,9512,4.7,7,0.236,No,11055,home,No
27,27264,562,22886,4.3,4,0.662,2,3897,auto,Yes
38,27708,544,9702,6.2,9,0.592,2,1185,home,Yes
28,37491,547,10314,3.1,10,0.566,No,2437,personal,Yes
64,83935,620,13911,14.6,10,0.144,No,16471,home,No
30,44807,434,12619,No,9,0.611,2,3779,home,Yes
23,57950,779,6546,11.7,10,0.26,No,26052,auto,No
34,25000,699,18466,15.2,8,0.273,No,19576,home,No
59,16225,648,9434,1.2,11,0.648,Yes,2189,auto,Yes
50,44350,720,10780,5.5,3,0.567,Yes,4545,home,Yes
54,83704,727,23220,No,14,0.228,No,21787,personal,No
47,68774,631,7444,5.0,6,0.179,No,31452,auto,No
23,78462,728,9309,11.3,5,0.285,No,24357,personal,No
23,45696,521,6903,5.5,8,0.337,Yes,No,auto,Yes
35,65404,645,6950,14.5,9,0.3,No,18278,home,No
35,64124,766,9088,4.6,5,0.283,Yes,18661,education,No
53,38440,561,18118,5.6,8,0.638,Yes,7307,home,Yes
48,52837,850,1000,4.5,11,0.278,Yes,13586,auto,No
53,61753,721,18364,3.4,5,0.273,2,12364,home,No
45,69141,788,13683,13.4,12,0.235,No,28911,home,No
56,33878,607,1000,3.3,6,0.577,Yes,2357,education,Yes
31,73317,737,10484,1.2,5,0.331,No,12185,auto,No
23,27195,581,10630,0.9,Yes,0.734,No,8229,home,Yes
51,38062,634,8501,5.3,14,0.223,No,21146,auto,No
45,73574,761,4447,8.3,9,0.151,No,19444,home,No
38,26558,617,4692,10.0,5,0.367,No,10360,auto,No
52,92607,550,17862,0.4,13,0.212,No,12538,auto,No
39,35121,602,13617,3.7,3,0.724,No,1284,home,Yes
25,89492,707,10047,6.1,14,0.286,2,17940,personal,No
23,56071,584,15825,3.0,10,0.383,Yes,10110,auto,Yes
23,42303,641,6086,1.8,13,0.484,Yes,1202,auto,Yes
25,43497,510,15821,4.2,10,0.308,4,4030,home,Yes
27,32225,596,20562,No,11,0.383,Yes,5496,auto,Yes
27,84009,761,11971,12.2,12,0.4,Yes,18997,auto,No
38,23580,532,9862,2.0,4,0.487,3,No,personal,Yes
57,43509,571,22498,5.7,8,0.222,No,21491,education,No
54,79852,840,13991,6.6,7,0.281,Yes,2312,personal,No
28,112598,755,12155,6.3,12,0.364,No,16802,home,No
35,60853,706,10879,3.8,11,0.255,No,10790,auto,No
57,65615,639,14661,7.8,2,0.399,No,2611,auto,No
44,75822,695,3209,11.6,14,0.243,No,18113,personal,No
37,38272,598,16902,4.1,11,0.3,Yes,7171,auto,Yes
44,55206,642,1000,5.8,11,0.291,2,20212,personal,No
61,70545,690,16613,6.6,4,0.448,Yes,966,education,Yes
37,71788,649,1000,4.9,6,0.397,2,17354,home,No
33,32195,656,13603,4.4,Yes,0.456,Yes,1256,home,Yes
26,79231,676,9674,5.6,5,0.18,Yes,28480,personal,No
36,35615,583,5298,No,10,0.431,Yes,7784,personal,Yes
50,34672,499,20673,0.2,9,0.597,No,4406,auto,Yes
47,40175,669,21458,4.0,4,0.693,No,No,personal,Yes
29,75594,648,4373,6.0,12,0.385,2,19900,personal,No
63,37314,686,19412,8.0,8,0.688,2,No,personal,Yes
58,91818,769,8498,8.7,Yes,0.145,No,8722,home,No
47,37189,554,4038,1.5,12,0.385,No,889,auto,Yes
60,69703,703,28871,4.3,14,0.413,No,10894,education,No
56,57944,641,18519,8.7,13,0.392,No,10687,personal,No
